Column1,Column2,Column3,Column4,Column5
Honda Vezel Rs Sensing 2017 SUV,Negotiable,5/23/2025,Ratnapura,
Toyota Roomy Custom G 4 Way 2023 Car,"Rs. 11,700,000",5/23/2025,Colombo,
Honda Dio Dx 2019 Motorbike,Negotiable,5/23/2025,Galle,
Bajaj Platina 2015 Motorbike,"Rs. 340,000",5/23/2025,Colombo,
Suzuki Alto 2015 Car,Negotiable,5/23/2025,Badulla,
Mitsubishi Canter 2003 Lorry,Negotiable,5/23/2025,Kegalle,
Suzuki Maruti 2000 Car,"Rs. 1,690,000",5/23/2025,Kurunegala,
Daihatsu TE S200P 2011 Lorry,"Rs. 2,770,000",5/23/2025,Ratnapura,
Honda Dio 2017 Motorbike,"Rs. 585,000",5/23/2025,Mirigama,
Honda PCX 125 2023 Motorbike,"Rs. 1,718,000",5/23/2025,Chilaw,
Toyota Prius 2010 Car,"Rs. 9,050,000",5/23/2025,Nittambuwa,
Honda Vezel Orange Pack 2014 SUV,Negotiable,5/23/2025,Anuradapura,
Bajaj CT-100 2011 Motorbike,"Rs. 238,000",5/23/2025,Kurunegala,
Toyota Aqua S Urban 2015 Car,Negotiable,5/23/2025,Negombo,
Toyota Dolphin LH113 1994 Van,"Rs. 7,650,000",5/23/2025,Horana,
Suzuki Alto 2005 Car,"Rs. 2,575,000",5/23/2025,Wennappuwa,
Bajaj Discover 150 2010 Motorbike,"Rs. 265,000",5/23/2025,Katunayake,
Yamaha Fz 2013 Motorbike,"Rs. 530,000",5/23/2025,Eheliyagoda,
Nissan FB14 1996 Car,"Rs. 2,960,000",5/23/2025,Pannala,
Kawasaki D Tracker 2012 Motorbike,"Rs. 1,520,000",5/23/2025,Horana,
Bajaj 2 Stroke 1998 Three Wheel,"Rs. 345,000",5/23/2025,Kurunegala,
Mahindra Centuro 100 2016 Motorbike,"Rs. 138,000",5/23/2025,Minuwangoda,
Toyota Dolphin LH113 1995 Van,"Rs. 7,500,000",5/23/2025,Horana,
Nissan D22 2001 Pickup,"Rs. 2,150,000",5/23/2025,Kurunegala,
Bajaj Pulsar 150 2016 Motorbike,"Rs. 536,000",5/23/2025,Beruwala,
Honda GRAZIA 2019 Motorbike,"Rs. 635,000",5/23/2025,Puttalam,
Bajaj CT-100 2002 Motorbike,Negotiable,5/23/2025,Galle,
Yamaha WR 250 2011 Motorbike,"Rs. 1,320,000",5/23/2025,Divulapitiya,
Hero Pleasure 2016 Motorbike,"Rs. 375,000",5/23/2025,Panadura,
Nissan FB14 1996 Car,"Rs. 2,965,000",5/23/2025,Kurunegala,
Honda Super Cub 2004 Motorbike,"Rs. 185,000",5/23/2025,Gampaha,
Toyota CR41 1996 Van,"Rs. 6,200,000",5/23/2025,Ja-Ela,
Daihatsu MIRA X LIMITED 2023 Car,"Rs. 7,390,000",5/23/2025,Malabe,
Suzuki Alto 2006 Car,"Rs. 2,595,000",5/23/2025,Kandy,
Nissan B211 1981 Car,"Rs. 450,000",5/23/2025,Warakapola,
Mitsubishi Pajero 1998 SUV,"Rs. 3,200,000",5/23/2025,Kandy,
Toyota Allion 240 2007 Car,Negotiable,5/23/2025,Dankotuwa,
Bajaj RE 2005 Three Wheel,"Rs. 325,000",5/23/2025,Kaduwela,
Bajaj Pulsar 135 LS 2011 Motorbike,"Rs. 190,000",5/23/2025,Colombo,
Micro Geely Mx7 2014 Car,"Rs. 3,950,000",5/23/2025,Dompe,
Toyota Axio G Grade 2007 Car,"Rs. 8,400,000",5/23/2025,Kalutara,
Hero Dawn 2008 Motorbike,"Rs. 135,000",5/23/2025,Matara,
Toyota Allion G Plus 2013 Car,"Rs. 11,950,000",5/23/2025,Panadura,
Toyota Vitz 2007 Car,"Rs. 5,975,000",5/23/2025,Pannala,
Chevrolet Cruze GM Model 2002 Car,"Rs. 3,950,000",5/23/2025,Panadura,
Perodua Bezza 2018 Car,"Rs. 6,850,000",5/23/2025,Colombo,
Bajaj Boxer Ct 2005 Motorbike,"Rs. 168,000",5/23/2025,Padukka,
Mitsubishi Lancer Box 1980 Car,Negotiable,5/23/2025,Padukka,
Mahindra Bolero 2014 Pickup,"Rs. 2,550,000",5/23/2025,Anuradapura,
Toyota Land Cruiser 101 2003 SUV,"Rs. 29,000,000",5/23/2025,Polonnaruwa,
Bajaj RE 205 2011 Three Wheel,Negotiable,5/23/2025,Mirigama,
Bajaj Discover 2012 Motorbike,"Rs. 298,000",5/23/2025,Homagama,
Toyota Vitz 2008 Car,"Rs. 5,725,000",5/23/2025,Minuwangoda,
Suzuki Maruti 2007 Car,"Rs. 1,845,000",5/23/2025,Kurunegala,
Mitsubishi Pajero Intercooler V46 GLS 1995 SUV,"Rs. 11,800,000",5/23/2025,Horana,
Bajaj Platina 2017 Motorbike,"Rs. 410,000",5/23/2025,Puttalam,
Suzuki Spacia 2018 Car,Negotiable,5/23/2025,Kandy,
Bajaj Discover 135 2010 Motorbike,"Rs. 400,000",5/23/2025,Kandy,
JAC 10.5 2007 Lorry,"Rs. 1,550,000",5/23/2025,Gampaha,
Atco Tipper 4hf1 2004 Lorry,"Rs. 2,750,000",5/23/2025,Kegalle,
Bajaj 2 Stroke 2005 Three Wheel,"Rs. 830,000",5/23/2025,Kaduwela,
Nissan N16 2000 Car,"Rs. 4,200,000",5/23/2025,Kuliyapitiya,
Isuzu Elf 1995 Lorry,"Rs. 4,675,000",5/23/2025,Kurunegala,
Micro Panda 2015 Car,Negotiable,5/23/2025,Gampaha,
Suzuki Maruti 2008 Car,Negotiable,5/23/2025,Maharagama,
Honda CRV 2012 SUV,"Rs. 11,400,000",5/23/2025,Boralesgamuwa,
Suzuki Wagon R Stingray 2018 Car,"Rs. 7,250,000",5/23/2025,Anuradapura,
TVS Ntorq 2019 Motorbike,"Rs. 550,000",5/23/2025,Gampaha,
Toyota Vitz 2017 Car,"Rs. 8,575,000",5/23/2025,Ratnapura,
Mitsubishi PAJERO IO GDI JEEP 1999 SUV,"Rs. 5,850,000",5/23/2025,Kurunegala,
Nissan Datsun 1992 Crew Cab,"Rs. 1,400,000",5/23/2025,Kandy,
Nissan Leaf ZAA-AZEO 2014 Car,"Rs. 6,900,000",5/23/2025,Ragama,
Mazda Titan 1999 Lorry,"Rs. 2,475,000",5/23/2025,Kurunegala,
Honda VEZEL 2014 SUV,Negotiable,5/23/2025,Panadura,
Mitsubishi Minicab 1999 Van,"Rs. 2,900,000",5/23/2025,Kurunegala,
Toyota Carina Ti AT212 2008 Car,Negotiable,5/23/2025,Mawanella,
Toyota Corolla AE110 SE Saloon 1995 Car,"Rs. 3,325,000",5/23/2025,Horana,
Suzuki Maruti 2003 Car,"Rs. 1,485,000",5/23/2025,Puttalam,
Nissan Vanette 2006 Van,"Rs. 6,750,000",5/23/2025,Gampaha,
Honda Cd 125 2002 Motorbike,"Rs. 435,000",5/23/2025,Kegalle,
Honda Cd 125 2002 Motorbike,"Rs. 435,000",5/23/2025,Kegalle,
Toyota Corolla 121 G Grade 2000 Car,"Rs. 5,750,000",5/23/2025,Hambantota,
Bajaj CT-100 2012 Motorbike,"Rs. 310,000",5/23/2025,Kurunegala,
Mitsubishi Freezer 14.5 2013 Lorry,"Rs. 7,500,000",5/23/2025,Avissawella,
Tata 207 2015 Pickup,"Rs. 2,375,000",5/23/2025,Kandy,
Honda Super Cub 2011 Motorbike,"Rs. 210,000",5/23/2025,Pannala,
Bajaj Pulsar 180 2016 Motorbike,Negotiable,5/23/2025,Kandy,
Isuzu ELF 1980 Lorry,Negotiable,5/23/2025,Nittambuwa,
DFSK Unimo Lokka 2013 Lorry,"Rs. 1,275,000",5/23/2025,Colombo,
Honda CD90 2007 Motorbike,"Rs. 128,000",5/23/2025,Gampaha,
Toyota CHR 2016 SUV,"Rs. 16,900,000",5/23/2025,Jaffna,
DFSK Unimo Lokka 2015 Lorry,"Rs. 1,575,000",5/23/2025,Colombo,
Honda GRAZIA DX 2020 Motorbike,"Rs. 640,000",5/23/2025,Puttalam,
Kia Rio 2002 Car,"Rs. 2,475,000",5/23/2025,Kandy,
Bajaj Pulsar 135 2014 Motorbike,"Rs. 268,000",5/23/2025,Gampaha,
Toyota CHR NGX 10 2018 SUV,"Rs. 14,950,000",5/23/2025,Kaduwela,
Bajaj RE 2004 Three Wheel,"Rs. 650,000",5/23/2025,Kurunegala,
Nissan Caravan 1988 Van,"Rs. 3,550,000",5/23/2025,Kaduwela,
Honda Dio 2016 Motorbike,Negotiable,5/23/2025,Polonnaruwa,
Hyundai Accent CRDI 4th Gen 2011 Car,Negotiable,5/23/2025,Wattala,
Honda Vezel RS 2016 SUV,"Rs. 12,575,000",5/23/2025,Negombo,
Audi A4 2004 Car,"Rs. 5,850,000",5/23/2025,Wennappuwa,
Bajaj Discover 2015 Motorbike,"Rs. 335,000",5/23/2025,Matale,
Bajaj 4 Stroke 2013 Three Wheel,"Rs. 1,335,000",5/23/2025,Kegalle,
Kubota RK80 2008 Tractor,"Rs. 6,750,000",5/23/2025,Galle,
Toyota AXIO G GRADE 2015 Car,Negotiable,5/23/2025,Kegalle,
Bajaj Pulsar 135 LS 2012 Motorbike,"Rs. 235,000",5/23/2025,Colombo,
Suzuki Spacia Custom 2017 Car,"Rs. 7,350,000",5/23/2025,Gampaha,
Honda Chaly 1991 Motorbike,"Rs. 125,000",5/23/2025,Pannala,
Toyota Aqua 2015 Car,"Rs. 9,450,000",5/23/2025,Nugegoda,
Toyota Aqua 2015 Car,"Rs. 9,100,000",5/23/2025,Ratnapura,
Piaggio Ape 2010 Three Wheel,"Rs. 1,285,000",5/23/2025,Polgahawela,
Bajaj RE 2004 Three Wheel,"Rs. 200,000",5/23/2025,Kaduwela,
Toyota Yaris G Z Grade Special Editio 2023 Car,"Rs. 12,190,000",5/23/2025,Colombo,
Mitsubishi Mini Truck 2001 Lorry,"Rs. 1,375,000",5/23/2025,Kalutara,
Bajaj Re 2008 Three Wheel,"Rs. 945,000",5/23/2025,Kurunegala,
Toyota Carina 1998 Car,"Rs. 4,300,000",5/23/2025,Ragama,
Peugeot 3008 GT Line 2019 SUV,"Rs. 20,400,000",5/23/2025,Kadawatha,
Honda MD 90 2007 Motorbike,"Rs. 390,000",5/23/2025,Maharagama,
